antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Coach'}),frozenset({'Peacoat'}),0.12890231621349446,0.12185297079556898,0.021148036253776436,0.1640625,1.3463972107438018,0.005440906080732298,1.0504936424127773,0.29534819708230126
frozenset({'Peacoat'}),frozenset({'Coach'}),0.12185297079556898,0.12890231621349446,0.021148036253776436,0.17355371900826447,1.3463972107438016,0.005440906080732298,1.0540281973816716,0.29297728265618184
frozenset({'Casual Slim Fit'}),frozenset({'Linen'}),0.14803625377643503,0.12185297079556898,0.02416918429003021,0.163265306122449,1.339854950244561,0.006130526981924837,1.0494927910004175,0.2977245862884163
frozenset({'Linen'}),frozenset({'Casual Slim Fit'}),0.12185297079556898,0.14803625377643503,0.02416918429003021,0.19834710743801653,1.3398549502445607,0.006130526981924837,1.0627588999283646,0.28884747706422037
frozenset({'Slim-Fit'}),frozenset({'Polo'}),0.14602215508559918,0.11983887210473314,0.023162134944612285,0.15862068965517243,1.3236163430889598,0.005663004576851656,1.0460931438099483,0.28630024610336335
frozenset({'Polo'}),frozenset({'Slim-Fit'}),0.11983887210473314,0.14602215508559918,0.023162134944612285,0.19327731092436973,1.3236163430889596,0.005663004576851656,1.0585767035918094,0.27778330514376676
frozenset({'Flannel'}),frozenset({'Slim-Fit'}),0.13595166163141995,0.14602215508559918,0.026183282980866064,0.1925925925925926,1.3189272030651342,0.006331328361977959,1.0576789822334323,0.27985476062399156
frozenset({'Slim-Fit'}),frozenset({'Flannel'}),0.14602215508559918,0.13595166163141995,0.026183282980866064,0.17931034482758623,1.3189272030651342,0.006331328361977959,1.052832008936505,0.2831549346879537
frozenset({'Pullover'}),frozenset({'Wool'}),0.13494461228600202,0.11883182275931521,0.021148036253776436,0.15671641791044777,1.318808499873514,0.005112322004281734,1.0449250951349713,0.2794500803813958
frozenset({'Wool'}),frozenset({'Pullover'}),0.11883182275931521,0.13494461228600202,0.021148036253776436,0.17796610169491525,1.3188084998735137,0.005112322004281734,1.0523354201056883,0.2743401360544217
frozenset({'Cords'}),frozenset({'Windbreaker'}),0.11983887210473314,0.1339375629405841,0.021148036253776436,0.17647058823529413,1.317558602388324,0.005097109778520133,1.0516472450007193,0.2738367658276124
frozenset({'Windbreaker'}),frozenset({'Cords'}),0.1339375629405841,0.11983887210473314,0.021148036253776436,0.15789473684210525,1.3175586023883237,0.005097109778520133,1.0451913393756296,0.27829457364341076
frozenset({'Slim-Fit'}),frozenset({'Parka'}),0.14602215508559918,0.12588116817724068,0.02416918429003021,0.16551724137931037,1.3148689655172416,0.0057877448280967796,1.0474977736719016,0.28041470125786166
frozenset({'Parka'}),frozenset({'Slim-Fit'}),0.12588116817724068,0.14602215508559918,0.02416918429003021,0.192,1.3148689655172414,0.0057877448280967796,1.0569032734089119,0.27395353302611375
frozenset({'Peacoat'}),frozenset({'Parka'}),0.12185297079556898,0.12588116817724068,0.02014098690835851,0.1652892561983471,1.3130578512396696,0.004801992598745093,1.047211669807464,0.27150229357798167
frozenset({'Parka'}),frozenset({'Peacoat'}),0.12588116817724068,0.12185297079556898,0.02014098690835851,0.16,1.3130578512396696,0.004801992598745093,1.0454131300052751,0.2727534562211982
frozenset({'Cardigan'}),frozenset({'Puffer'}),0.1299093655589124,0.1309164149043303,0.022155085599194362,0.17054263565891475,1.3026833631484795,0.00514781719772547,1.0477736680125365,0.26704545454545464
frozenset({'Puffer'}),frozenset({'Cardigan'}),0.1309164149043303,0.1299093655589124,0.022155085599194362,0.16923076923076924,1.3026833631484795,0.00514781719772547,1.0473313192346425,0.26735489307911103
frozenset({'Tracksuit Bottoms'}),frozenset({'Parka'}),0.1228600201409869,0.12588116817724068,0.02014098690835851,0.1639344262295082,1.3022950819672132,0.0046752240507317595,1.0455146811997709,0.264638346727899
frozenset({'Parka'}),frozenset({'Tracksuit Bottoms'}),0.12588116817724068,0.1228600201409869,0.02014098690835851,0.16,1.3022950819672132,0.0046752240507317595,1.0442142617369206,0.2655529953917051
frozenset({'Bomber'}),frozenset({'Tracksuit Bottoms'}),0.14501510574018128,0.1228600201409869,0.023162134944612285,0.1597222222222222,1.3000341530054644,0.005345576132626269,1.043869066939652,0.26993393762482715
